job_title,job_category,salary_in_usd,experience_level,employment_type,work_setting,neighbourhood_group,neighbourhood,rent,latitude,longitude,amenity,amenity_value
Data Engineer,Data Engineering,110019.0,Senior,Full-time,Remote,Manhattan,Harlem,8000.0,40.81491,-73.95412,size_sqft,1100.0
Data Engineer,Data Engineering,227500.0,Senior,Full-time,Remote,Queens,Ditmars Steinway,3600.0,40.77757,-73.9158,has_doorman,1.0
Data Engineer,Data Engineering,67056.0,Mid-level,Full-time,In-person,Queens,Woodhaven,7550.0,40.68939,-73.8519,has_gym,1.0
Data Engineer,Data Engineering,181500.0,Senior,Full-time,In-person,Brooklyn,Crown Heights,16000.0,40.67046,-73.95618,no_fee,0.0
Data Scientist,Data Science and Research,212000.0,Mid-level,Full-time,In-person,Brooklyn,Greenpoint,1500.0,40.7203,-73.93965,bathrooms,1.0
Data Architect,Data Architecture and Modeling,210000.0,Senior,Full-time,Remote,Brooklyn,Crown Heights,6000.0,40.67117,-73.95717,building_age_yrs,84.0
Analytics Engineer,Leadership and Management,160000.0,Senior,Full-time,In-person,Manhattan,Upper West Side,2850.0,40.78644,-73.97739,has_gym,0.0
Data Analyst,Data Analysis,90000.0,Senior,Full-time,In-person,Queens,Long Island City,2950.0,40.75859,-73.92836,min_to_subway,2.0
Data Strategy Manager,Data Management and Strategy,100000.0,Senior,Full-time,Remote,Manhattan,Washington Heights,2395.0,40.83388,-73.94298,has_dishwasher,0.0
Data Scientist,Data Science and Research,72700.0,Mid-level,Full-time,In-person,Manhattan,East Village,5819.0,40.72585,-73.98542,size_sqft,1121.0
Data Engineer,Data Engineering,130000.0,Mid-level,Full-time,Remote,Manhattan,Flatiron District,3125.0,40.7408,-73.99065,bedrooms,1.0
Data Scientist,Data Science and Research,162000.0,Senior,Full-time,Remote,Queens,Woodside,3055.0,40.74372,-73.90856,has_doorman,0.0
Data Analyst,Data Analysis,135000.0,Mid-level,Full-time,In-person,Brooklyn,Windsor Terrace,4565.0,40.64885,-73.97453,has_dishwasher,0.0
Data Engineer,Data Engineering,166000.0,Senior,Full-time,In-person,Manhattan,West Village,7995.0,40.73814,-74.00811,has_gym,0.0
Data Scientist,Data Science and Research,180000.0,Mid-level,Full-time,In-person,Manhattan,East Harlem,3345.0,40.79911,-73.94446,min_to_subway,8.0
Data Engineer,Data Engineering,131300.0,Senior,Full-time,In-person,Manhattan,East Village,4595.0,40.72366,-73.97937,has_doorman,1.0
Research Engineer,Data Science and Research,141298.0,Senior,Full-time,In-person,Manhattan,Harlem,6400.0,40.80874,-73.94926,has_elevator,1.0
Data Scientist,Data Science and Research,145000.0,Mid-level,Full-time,Remote,Manhattan,Harlem,6500.0,40.81154,-73.95117,floor,9.0
Data Scientist,Data Science and Research,116300.0,Senior,Full-time,In-person,Manhattan,Gramercy,4725.0,40.73793,-73.98229,min_to_subway,2.0
Data Scientist,Data Science and Research,196760.0,Senior,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,2000.0,40.68901,-73.95677,has_elevator,0.0
AI Engineer,Machine Learning and AI,120000.0,Mid-level,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,3000.0,40.68644,-73.95618,has_gym,0.0
Data Scientist,Data Science and Research,225300.0,Mid-level,Full-time,In-person,Manhattan,Upper West Side,2975.0,40.79991,-73.96277,bathrooms,1.0
